Method, Min_Attack, Max_Attack, Min_Lift, Max_Lift, Angle_1, Angle_2, Angle_3, Time, Hits, Misses, Fail_0, Fail_1, Fail_2, Fail_3, Fail_4, Avg_Error, Std_Dev, Min_Error, Max_Error, Rng_0%, Rng_1%, Rng_2%, Rng_3%, Rng_4%, Rng_5%, Rng_6%, Rng_7%, Rng_8%, Rng_9%, Rng_10%, Rng_11%, Rng_12%, Rng_13%, Rng_14%, Rng_15%
LT, 0, 30, 10, 20, 0, 154, 323, 2.032132, 1000000, 0, 0, 0, 0, 0, 0, 1.74988e-09, 1.26597e-06, 1.88952e-16, 0.0012467, 0.000000, 0.000000, 0.000100, 0.000100, 0.000600, 0.001600, 0.004800, 0.016600,  0.055700, 0.215500, 1.042800, 5.993200, 40.670200, 46.797800, 5.180600, 0.020400
EC, 0, 30, 10, 20, 0, 154, 323, 3.302521, 1000000, 0, 0, 0, 0, 0, 0, 1.29642e-12, 9.76427e-10, 0, 9.60896e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000200, 0.000300,  0.001600, 0.006700, 0.032000, 0.249700, 8.633700, 74.965200, 15.471100, 0.639500

LT, 0, 30, 10, 20, 0, 199, 355, 2.010292, 999999, 1, 0, 0, 1, 0, 0, 1.23803e-08, 1.03691e-05, 3.14282e-16, 0.0101618, 0.000000, 0.000100, 0.000100, 0.000000, 0.000300, 0.000600, 0.004700, 0.036000,  0.290500, 2.296300, 20.360300, 51.052500, 22.478000, 3.423800, 0.056500, 0.000200
EC, 0, 30, 10, 20, 0, 199, 355, 3.321226, 1000000, 0, 0, 0, 0, 0, 0, 3.97046e-12, 7.71249e-10, 7.1013e-16, 5.06512e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000500, 0.000800,  0.003800, 0.033900, 0.476900, 63.245400, 33.414300, 2.758600, 0.065700, 0.000100

LT, 0, 30, 10, 20, 0, 1, 2, 1.836066, 999985, 15, 0, 2, 13, 0, 0, 0.000736541, 0.00129383, 4.2577e-12, 0.0320068, 0.000000, 0.201500, 23.232300, 38.131600, 18.732000, 9.395700, 4.984500, 2.617500,  1.685100, 0.899100, 0.118100, 0.001100, 0.000000, 0.000000, 0.000000, 0.000000
EC, 0, 30, 10, 20, 0, 1, 2, 3.638230, 999999, 1, 0, 0, 1, 0, 0, 1.79191e-05, 0.000393645, 1.22455e-12, 0.0344334, 0.000000, 0.041100, 0.193800, 0.214700, 6.260300, 53.709300, 25.936800, 8.897100,  3.471100, 1.186400, 0.087400, 0.001900, 0.000000, 0.000000, 0.000000, 0.000000


LT, 0, 30, 100, 200, 0, 80, 230, 1.840763, 999996, 4, 0, 1, 3, 0, 0, 2.03162e-08, 1.01738e-05, 1.65087e-15, 0.00789737, 0.000000, 0.000000, 0.000400, 0.001100, 0.002300, 0.007100, 0.029600, 0.099900,  0.360400, 1.552600, 9.109300, 62.902800, 24.225500, 1.697900, 0.010700, 0.000000
EC, 0, 30, 100, 200, 0, 80, 230, 3.126675, 1000000, 0, 0, 0, 0, 0, 0, 4.08233e-11, 3.79383e-08, 1.42271e-18, 3.79192e-05, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000100, 0.000100, 0.000200,  0.002400, 0.031400, 0.327200, 47.347500, 46.366000, 5.380700, 0.504400, 0.039900

LT, 0, 30, 100, 200, 0, 70, 300, 1.887443, 999996, 4, 0, 1, 3, 0, 0, 1.81711e-08, 1.31372e-05, 3.25908e-15, 0.0130526, 0.000000, 0.000100, 0.000100, 0.001500, 0.002700, 0.008300, 0.026200, 0.100200,  0.471300, 1.886200, 21.329400, 60.783400, 14.602900, 0.784800, 0.002500, 0.000000
EC, 0, 30, 100, 200, 0, 70, 300, 3.203347, 1000000, 0, 0, 0, 0, 0, 0, 2.80388e-12, 1.861e-10, 0, 1.38351e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000600,  0.002300, 0.025400, 0.674100, 66.657300, 29.275400, 3.047900, 0.295700, 0.021200

LT, 0, 30, 100, 200, 0, 33, 65, 1.799573, 999991, 9, 0, 4, 5, 0, 0, 1.36174e-08, 4.82194e-06, 1.77887e-14, 0.00345095, 0.000000, 0.000000, 0.000300, 0.001100, 0.006300, 0.016700, 0.069700, 0.353400,  2.588000, 35.063400, 50.720600, 10.477500, 0.695000, 0.007100, 0.000000, 0.000000
EC, 0, 30, 100, 200, 0, 33, 65, 3.203221, 1000000, 0, 0, 0, 0, 0, 0, 1.30221e-11, 2.58423e-09, 2.18784e-16, 2.29133e-06, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000200, 0.000300, 0.001400,  0.015800, 0.134300, 28.384500, 61.870800, 8.663100, 0.848600, 0.077300, 0.003700

LT, 0, 30, 100, 200, 0, 30, 200, 1.900390, 999999, 1, 0, 0, 1, 0, 0, 2.10635e-09, 6.07837e-07, 3.01921e-15, 0.000486004, 0.000000, 0.000000, 0.000000, 0.000500, 0.002500, 0.004200, 0.017600, 0.078800,  0.436700, 3.421100, 40.878500, 44.818400, 9.943100, 0.396500, 0.002000, 0.000000
EC, 0, 30, 100, 200, 0, 30, 200, 3.124022, 1000000, 0, 0, 0, 0, 0, 0, 1.6691e-10, 1.61029e-07, 1.76063e-16, 0.000161029, 0.000000, 0.000000, 0.000000, 0.000100, 0.000000, 0.000000, 0.000100, 0.000400,  0.001700, 0.013500, 15.707100, 70.800400, 12.122700, 1.230900, 0.116300, 0.006800

